,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,,Country
1015,D Denton,1905-1910,11,22,1,424,104,20.19,1,1,4,,ENG
1016,RW Anderson,1976-1978,9,18,0,423,92,23.50,0,3,1,,NZ
1017,AG Kripal Singh,1955-1964,14,20,5,422,100*,28.13,1,2,4,,IND
1018,GG Arnold,1967-1975,34,46,11,421,59,12.02,0,1,5,,ENG
1019,RDB Croft,1996-2001,21,34,8,421,37*,16.19,0,0,2,,ENG
1020,HG Vivian,1931-1937,7,10,0,421,100,42.10,1,5,0,,NZ
1021,RB Desai,1959-1968,28,44,13,418,85,13.48,0,1,8,,IND
1022,CK Kapugedera,2006-2009,8,15,3,418,96,34.83,0,4,1,,SL
1023,CL King,1976-1980,9,16,3,418,100*,32.15,1,2,3,,WI
1024,JL Pattinson,2011-2020,21,25,9,417,47*,26.06,0,0,2,,AUS
1025,Naeem Islam,2008-2012,8,15,2,416,108,32.00,1,1,0,,BAN
1026,AE Relf,1903-1914,13,21,3,416,63,23.11,0,1,1,,ENG
1027,GL Weir,1930-1937,11,16,2,416,74*,29.71,0,3,1,,NZ
1028,GC Grant,1930-1935,12,22,6,413,71*,25.81,0,3,1,,WI
1029,AG Fairfax,1929-1931,10,12,4,410,65,51.25,0,4,0,,AUS
1030,Hashmatullah Shahidi,2018-2024,7,14,5,410,200*,45.55,1,1,0,,AFG
1031,WJ O'Reilly,1932-1946,27,39,7,410,56*,12.81,0,1,6,,AUS
1032,AH Bakewell,1931-1935,6,9,0,409,107,45.44,1,3,0,,ENG
1033,DJ Insole,1950-1957,9,17,2,408,110*,27.20,1,1,2,,ENG
1034,DBL Powell,2002-2009,37,57,5,407,36*,7.82,0,0,15,,WI
1035,DS de Silva,1982-1984,12,22,3,406,61,21.36,0,2,3,,SL
1036,JH Hampshire,1969-1975,8,16,1,403,107,26.86,1,2,2,,ENG
1037,LR Johnson,2014-2016,9,16,0,403,66,25.18,0,2,2,,WI
1038,AJ Richardson,1924-1926,9,13,0,403,100,31.00,1,2,1,,AUS
1039,NS Yadav,1979-1987,35,40,12,403,43,14.39,0,0,4,,IND
1040,TL Best,2003-2013,25,38,6,401,95,12.53,0,1,9,,WI
1041,M Jansen,2021-2024,13,21,4,401,84*,23.58,0,2,2,,SA
1042,KE Rigg,1931-1937,8,12,0,401,127,33.41,1,1,0,,AUS
1043,BN Jarman,1959-1969,19,30,3,400,78,14.81,0,2,5,,AUS
1044,NBF Mann,1947-1951,19,31,1,400,52,13.33,0,1,4,,SA
1045,M van Jaarsveld,2002-2004,9,15,2,397,73,30.53,0,3,0,,SA
1046,C Sharma,1984-1989,23,27,9,396,54,22.00,0,1,2,,IND
1047,Abdur Rehman,2007-2014,22,31,3,395,60,14.10,0,2,4,,PAK
1048,JW Gleeson,1967-1972,29,46,8,395,45,10.39,0,0,11,,AUS
1049,Shujauddin,1954-1962,19,32,6,395,47,15.19,0,0,3,,PAK
1050,S van Zyl,2014-2016,12,17,2,395,101*,26.33,1,0,2,,SA
1051,JEF Beck,1953-1956,8,15,0,394,99,26.26,0,3,1,,NZ
1052,FH Edwards,2003-2012,55,88,28,394,30,6.56,0,0,19,,WI
1053,SJ Rixon,1977-1985,13,24,3,394,54,18.76,0,2,4,,AUS
1054,D Tallon,1946-1953,21,26,3,394,92,17.13,0,2,3,,AUS
1055,W Gunn,1887-1899,11,20,2,392,102*,21.77,1,1,1,,ENG
1056,CL Smith,1983-1986,8,14,1,392,91,30.15,0,2,1,,ENG
1057,KMDN Kulasekara,2005-2014,21,28,1,391,64,14.48,0,1,4,,SL
1058,RB Minnett,1911-1912,9,15,0,391,90,26.06,0,3,3,,AUS
1059,ARC Fraser,1989-1998,46,67,15,388,32,7.46,0,0,9,,ENG
1060,CO Browne,1995-2005,20,30,6,387,68,16.12,0,1,7,,WI
1061,VC Drakes,2002-2004,12,20,2,386,67,21.44,0,1,2,,WI
1062,J Mubarak,2002-2015,13,23,1,385,49,17.50,0,0,5,,SL
1063,MJ Stewart,1962-1964,8,12,1,385,87,35.00,0,2,1,,ENG
1064,Tapash Baisya,2002-2005,21,40,6,384,66,11.29,0,2,9,,BAN
1065,EE Hemmings,1982-1991,16,21,4,383,95,22.52,0,2,5,,ENG
1066,J Moroney,1949-1952,7,12,1,383,118,34.81,2,1,3,,AUS
1067,LK Germon,1995-1997,12,21,3,382,55,21.22,0,1,3,,NZ
1068,Hasan Ali,2017-2024,24,38,6,382,30,11.93,0,0,7,,PAK
1069,DR Parry,1978-1980,12,20,3,381,65,22.41,0,3,3,,WI
1070,JS Patel,2006-2017,24,38,8,381,47,12.70,0,0,7,,NZ
1071,PGH Fender,1921-1929,13,21,1,380,60,19.00,0,2,3,,ENG
1072,RIC Holder,1997-1999,11,17,2,380,91,25.33,0,2,1,,WI
1073,DK Morrison,1987-1997,48,71,26,379,42,8.42,0,0,24,,NZ
1074,S Shivnarine,1978-1979,8,14,1,379,63,29.15,0,4,2,,WI
1075,PGZ Harris,1955-1965,9,18,1,378,101,22.23,1,1,3,,NZ
1076,GN Edwards,1977-1981,8,15,0,377,55,25.13,0,3,2,,NZ
1077,FG Mann,1948-1949,7,12,2,376,136*,37.60,1,0,0,,ENG
1078,DJ Capel,1987-1990,15,25,1,374,98,15.58,0,2,4,,ENG
1079,GRA Langley,1951-1956,26,37,12,374,53,14.96,0,1,3,,AUS
1080,KK Nair,2016-2017,6,7,1,374,303*,62.33,1,0,1,,IND
1081,RO Schwarz,1906-1912,20,35,8,374,61,13.85,0,1,6,,SA
1082,WGA Parkhouse,1950-1959,7,13,0,373,78,28.69,0,2,1,,ENG
1083,RG Samuels,1996-1997,6,12,2,372,125,37.20,1,1,0,,WI
1084,AE Dick,1961-1965,17,30,4,370,50*,14.23,0,1,4,,NZ
1085,Talat Ali,1972-1979,10,18,2,370,61,23.12,0,2,2,,PAK
1086,KDK Vithanage,2013-2015,10,16,2,370,103*,26.42,1,1,1,,SL
1087,NAM McLean,1998-2001,19,32,2,368,46,12.26,0,0,6,,WI
1088,IDK Salisbury,1992-2000,15,25,3,368,50,16.72,0,1,4,,ENG
1089,PJ Wiseman,1998-2005,25,34,8,366,36,14.07,0,0,5,,NZ
1090,NJN Hawke,1963-1968,27,37,15,365,45*,16.59,0,0,6,,AUS
1091,RTM Mendis,2021-2023,14,20,1,365,45*,19.21,0,0,2,,SL
1092,WE Russell,1961-1967,10,18,1,362,70,21.29,0,2,2,,ENG
1093,S Ramadhin,1950-1961,43,58,14,361,44,8.20,0,0,14,,WI
1094,PR Adams,1995-2004,45,55,15,360,35,9.00,0,0,8,,SA
1095,Danish Kaneria,2000-2010,61,84,33,360,29,7.05,0,0,25,,PAK
1096,CMW Read,1999-2007,15,23,4,360,55,18.94,0,1,5,,ENG
1097,PS de Villiers,1993-1998,18,26,7,359,67*,18.89,0,2,3,,SA
1098,HJH Scott,1884-1886,8,14,1,359,102,27.61,1,1,0,,AUS
1099,ID Craig,1953-1958,11,18,0,358,53,19.88,0,2,3,,AUS
1100,BC Rose,1977-1981,9,16,2,358,70,25.57,0,2,0,,ENG
1101,P Holmes,1921-1932,7,14,1,357,88,27.46,0,4,3,,ENG
1102,SJ Pegler,1910-1924,16,28,5,356,35*,15.47,0,0,6,,SA
1103,AJ Bichel,1997-2003,19,22,1,355,71,16.90,0,1,3,,AUS
1104,JMM Commaille,1910-1928,12,22,1,355,47,16.90,0,0,1,,SA
1105,BW Hilfenhaus,2009-2012,27,38,12,355,56*,13.65,0,1,8,,AUS
1106,PNF Mansell,1951-1955,13,22,2,355,90,17.75,0,2,3,,SA
1107,MS Nichols,1930-1939,14,19,7,355,78*,29.58,0,2,0,,ENG
1108,MB Poore,1953-1956,14,24,1,355,45,15.43,0,0,6,,NZ
1109,WA Shalders,1899-1907,12,23,1,355,42,16.13,0,0,4,,SA
1110,R Ravindra,2021-2024,5,9,1,354,240,44.25,1,0,0,,NZ
1111,RT Spooner,1951-1955,7,14,1,354,92,27.23,0,3,3,,ENG
1112,Zakir Hasan,2022-2023,5,10,0,354,100,35.40,1,3,0,,BAN
1113,MN Hart,1994-1995,14,24,4,353,45,17.65,0,0,3,,NZ
1114,BL Irvine,1970-1970,4,7,0,353,102,50.42,1,2,0,,SA
1115,SAR Silva,1983-1988,9,16,2,353,111,25.21,2,0,1,,SL
1116,HB Taber,1966-1970,16,27,5,353,48,16.04,0,0,3,,AUS
1117,SB Joshi,1996-2000,15,19,2,352,92,20.70,0,1,2,,IND
1118,OE Robinson,2021-2023,19,31,5,352,42,13.53,0,0,6,,ENG
1119,JG Leggat,1952-1956,9,18,2,351,61,21.93,0,2,1,,NZ
1120,S Matsikenyeri,2003-2005,8,16,1,351,57,23.40,0,2,0,,ZIM
1121,LJ Tucker,2023-2023,4,8,0,351,108,43.87,1,1,0,,IRE
1122,DK Gaekwad,1952-1961,11,20,1,350,52,18.42,0,1,3,,IND
1123,P Lever,1970-1975,17,18,2,350,88*,21.87,0,2,1,,ENG
1124,CK Nayudu,1932-1936,7,14,0,350,81,25.00,0,2,0,,IND
1125,SCG MacGill,1998-2008,44,47,11,349,43,9.69,0,0,12,,AUS
1126,CR Matthews,1992-1995,18,25,6,348,62*,18.31,0,1,4,,SA
1127,EP Nupen,1921-1936,17,31,7,348,69,14.50,0,2,5,,SA
1128,Jahurul Islam,2010-2013,7,14,1,347,48,26.69,0,0,2,,BAN
1129,PS Masvaure,2016-2021,8,15,1,346,65,24.71,0,3,2,,ZIM
1130,LSM Miller,1953-1958,13,25,0,346,47,13.84,0,0,5,,NZ
1131,MA Carberry,2010-2014,6,12,0,345,60,28.75,0,1,2,,ENG
1132,EW Freeman,1968-1970,11,18,0,345,76,19.16,0,2,0,,AUS
1133,Rizwan-uz-Zaman,1981-1989,11,19,1,345,60,19.16,0,3,2,,PAK
1134,Sanuar Hossain,2001-2003,9,18,0,345,49,19.16,0,0,1,,BAN
1135,Lord Tennyson,1913-1921,9,12,1,345,74*,31.36,0,4,1,,ENG
1136,D Dasgupta,2001-2002,8,13,1,344,100,28.66,1,2,2,,IND
1137,FA Rose,1997-2000,19,28,2,344,69,13.23,0,1,2,,WI
1138,LA Stricker,1910-1912,13,24,0,344,48,14.33,0,0,5,,SA
1139,TM Dowlin,2009-2010,6,11,0,343,95,31.18,0,3,0,,WI
1140,FLH Mooney,1949-1954,14,22,2,343,46,17.15,0,0,1,,NZ
1141,CA Best,1986-1990,8,13,1,342,164,28.50,1,1,1,,WI
1142,DJ Brown,1965-1969,26,34,5,342,44*,11.79,0,0,6,,ENG
1143,KL Hutchings,1907-1909,7,12,0,341,126,28.41,1,1,1,,ENG
1144,CFK van Wyk,2012-2012,9,17,1,341,71,21.31,0,1,3,,NZ
1145,AEE Vogler,1906-1911,15,26,6,340,65,17.00,0,2,4,,SA
1146,TW Garrett,1877-1888,19,33,6,339,51*,12.55,0,1,5,,AUS
1147,GJ Maxwell,2013-2017,7,14,1,339,104,26.07,1,0,0,,AUS
1148,PP Shaw,2018-2020,5,9,1,339,134,42.37,1,2,1,,IND
1149,A Nel,2001-2008,36,42,8,337,34,9.91,0,0,11,,SA
1150,Mahmood Hussain,1952-1962,27,39,6,336,35,10.18,0,0,8,,PAK
1151,Raqibul Hasan,2008-2011,9,18,1,336,65,19.76,0,1,2,,BAN
1152,SD Robson,2014-2014,7,11,0,336,127,30.54,1,1,0,,ENG
1153,HT Tector,2023-2023,4,8,0,336,85,42.00,0,4,1,,IRE
1154,HSTL Hendry,1921-1929,11,18,2,335,112,20.93,1,0,1,,AUS
1155,R Rampaul,2009-2012,18,31,8,335,40*,14.56,0,0,6,,WI
1156,MH Dekker,1993-1996,14,22,1,333,68*,15.85,0,2,4,,ZIM
1157,Mohammad Mithun,2018-2021,10,18,0,333,67,18.50,0,2,4,,BAN
1158,SN Thakur,2018-2023,11,18,1,331,67,19.47,0,4,3,,IND
1159,RC Blunt,1930-1932,9,13,1,330,96,27.50,0,1,1,,NZ
1160,FR Foster,1911-1912,11,15,1,330,71,23.57,0,3,1,,ENG
1161,VL Mehra,1955-1964,8,14,1,329,62,25.30,0,2,1,,IND
1162,Wajahatullah Wasti,1999-2000,6,10,1,329,133,36.55,2,0,0,,PAK
1163,AM Moir,1951-1959,17,30,8,327,41*,14.86,0,0,5,,NZ
1164,MC Snedden,1981-1990,25,30,8,327,33*,14.86,0,0,6,,NZ
1165,HF Wade,1935-1936,10,18,2,327,40*,20.43,0,0,4,,SA
1166,ALF de Mel,1982-1986,17,28,5,326,34,14.17,0,0,5,,SL
1167,PWA Mulder,2019-2023,12,21,0,326,42,15.52,0,0,2,,SA
1168,GM Fullerton,1947-1951,7,13,0,325,88,25.00,0,3,1,,SA
1169,CMH Hathorn,1902-1911,12,20,1,325,102,17.10,1,0,1,,SA
1170,AJ Redmond,2008-2013,8,16,1,325,83,21.66,0,2,1,,NZ
1171,Sohag Gazi,2012-2014,10,16,1,325,101*,21.66,1,0,3,,BAN
1172,G Thomas,1965-1966,8,12,1,325,61,29.54,0,3,0,,AUS
1173,CTB Turner,1887-1895,17,32,4,323,29,11.53,0,0,6,,AUS
1174,TS Worthington,1930-1937,9,11,0,321,128,29.18,1,1,4,,ENG
1175,DSBP Kuruppu,1987-1991,4,7,1,320,201*,53.33,1,0,0,,SL
1176,A Mukund,2011-2017,7,14,0,320,81,22.85,0,2,3,,IND
1177,DR Smith,2004-2006,10,14,1,320,105*,24.61,1,0,4,,WI
1178,DM Bess,2018-2021,14,19,5,319,57,22.78,0,1,3,,ENG
1179,JF Crapp,1948-1949,7,13,2,319,56,29.00,0,3,1,,ENG
1180,L Ronchi,2015-2016,4,8,0,319,88,39.87,0,2,1,,NZ
1181,A Balbirnie,2018-2023,7,14,0,318,95,22.71,0,3,3,,IRE
1182,OAC Banks,2003-2005,10,16,4,318,50*,26.50,0,1,1,,WI
1183,HJ Keith,1953-1957,8,16,1,318,73,21.20,0,2,3,,SA
1184,Tauseef Ahmed,1980-1993,34,38,20,318,35*,17.66,0,0,6,,PAK
1185,RJ Sidebottom,2001-2010,22,31,11,313,31,15.65,0,0,3,,ENG
1186,JWA Taylor,2012-2016,7,13,1,312,76,26.00,0,2,1,,ENG
1187,J Hardstaff snr,1907-1908,5,10,0,311,72,31.10,0,3,0,,ENG
1188,BN French,1986-1988,16,21,4,308,59,18.11,0,1,2,,ENG
1189,S Samarawickrama,2017-2024,9,14,1,308,104*,23.69,1,0,3,,SL
1190,W Voce,1930-1947,27,38,15,308,66,13.39,0,1,6,,ENG
1191,JK Lever,1976-1986,21,31,5,306,53,11.76,0,1,2,,ENG
1192,Q McMillan,1929-1932,13,21,4,306,50*,18.00,0,1,4,,SA
1193,Wahab Riaz,2010-2018,27,41,5,306,39,8.50,0,0,9,,PAK
1194,DW Fleming,1994-2001,20,19,3,305,71*,19.06,0,2,7,,AUS
1195,Shamsur Rahman,2014-2014,6,12,0,305,106,25.41,1,0,1,,BAN
1196,BR Hartland,1992-1994,9,18,0,303,52,16.83,0,1,3,,NZ
1197,AH Jarvis,1885-1895,11,21,3,303,82,16.83,0,1,1,,AUS
1198,DJ Murray,1994-1995,8,16,1,303,52,20.20,0,1,3,,NZ
1199,KJ Arnott,1992-1993,4,8,1,302,101*,43.14,1,1,1,,ZIM
1200,H Graham,1893-1896,6,10,0,301,107,30.10,2,0,2,,AUS
1201,PAM Hands,1913-1924,7,12,0,300,83,25.00,0,2,2,,SA
1202,Shadab Khan,2017-2020,6,11,2,300,56,33.33,0,3,0,,PAK
1203,Tahir Naqqash,1982-1985,15,19,5,300,57,21.42,0,1,1,,PAK
1204,G Brown,1921-1923,7,12,2,299,84,29.90,0,2,2,,ENG
1205,MD Gunathilaka,2017-2018,8,16,0,299,61,18.68,0,2,0,,SL
1206,GB Legge,1927-1930,5,7,1,299,196,49.83,1,0,2,,ENG
1207,ACB Langton,1935-1939,15,23,4,298,73*,15.68,0,2,5,,SA
1208,A Mitchell,1933-1936,6,10,0,298,72,29.80,0,2,1,,ENG
1209,RA Reifer,2017-2023,8,14,1,298,62,22.92,0,3,1,,WI
1210,TAM Siriwardana,2015-2016,5,9,0,298,68,33.11,0,2,1,,SL
1211,S O'Linn,1960-1961,7,12,1,297,98,27.00,0,2,0,,SA
1212,N Phillip,1978-1979,9,15,5,297,47,29.70,0,0,1,,WI
1213,GE Palmer,1880-1886,17,25,4,296,48,14.09,0,0,3,,AUS
1214,RS Cunis,1964-1972,20,31,8,295,51,12.82,0,1,6,,NZ
1215,RS Kalpage,1993-1999,11,18,2,294,63,18.37,0,2,0,,SL
1216,SJ Rhodes,1994-1995,11,17,5,294,65*,24.50,0,1,1,,ENG
1217,OC Dawson,1947-1949,9,15,1,293,55,20.92,0,1,1,,SA
1218,DF Whatmore,1979-1979,7,13,0,293,77,22.53,0,2,1,,AUS
1219,L Amar Singh,1932-1936,7,14,1,292,51,22.46,0,1,1,,IND
1220,HJ Howarth,1969-1977,30,42,18,291,61,12.12,0,1,7,,NZ
1221,AO Jones,1899-1909,12,21,0,291,34,13.85,0,0,2,,ENG
1222,AMB Rowan,1947-1951,15,23,6,290,41,17.05,0,0,3,,SA
1223,Zubayr Hamza,2019-2024,8,15,0,290,62,19.33,0,1,2,,SA
1224,KD Mills,2004-2009,19,30,5,289,57,11.56,0,1,5,,NZ
1225,ARA Murray,1952-1954,10,14,1,289,109,22.23,1,1,1,,SA
1226,DVP Wright,1938-1951,34,39,13,289,45,11.11,0,0,7,,ENG
1227,Zahid Fazal,1990-1995,9,16,0,288,78,18.00,0,1,0,,PAK
1228,DNT Zoysa,1997-2004,30,40,6,288,28*,8.47,0,0,9,,SL
1229,PT Barton,1961-1963,7,14,0,285,109,20.35,1,1,1,,NZ
1230,CJ Richards,1986-1988,8,13,0,285,133,21.92,1,0,2,,ENG
1231,CB Lambert,1991-1998,5,9,0,284,104,31.55,1,1,1,,WI
1232,FT Mann,1922-1923,5,9,1,281,84,35.12,0,2,0,,ENG
1233,S Sreesanth,2006-2011,27,40,13,281,35,10.40,0,0,10,,IND
1234,JM Wiener,1979-1980,6,11,0,281,93,25.54,0,2,0,,AUS
1235,MC Bird,1910-1914,10,16,1,280,61,18.66,0,2,2,,ENG
1236,ST Finn,2010-2016,36,47,22,279,56,11.16,0,1,9,,ENG
1237,Ijaz Butt,1959-1962,8,16,2,279,58,19.92,0,1,1,,PAK
1238,JWH Makepeace,1920-1921,4,8,0,279,117,34.87,1,2,0,,ENG
1239,PA Wallace,1997-1999,7,13,0,279,92,21.46,0,2,1,,WI
1240,AJ Finch,2018-2018,5,10,0,278,62,27.80,0,2,1,,AUS
1241,LMP Simmons,2009-2011,8,16,0,278,49,17.37,0,0,1,,WI
1242,GR Stead,1999-1999,5,8,0,278,78,34.75,0,2,0,,NZ
1243,Nazar Mohammad,1952-1952,5,8,1,277,124*,39.57,1,1,1,,PAK
1244,IM Barrow,1930-1939,11,19,2,276,105,16.23,1,0,3,,WI
1245,AR McBrine,2019-2023,6,12,1,276,86*,25.09,0,2,1,,IRE
1246,GD Phillips,2020-2024,5,8,1,276,87,39.42,0,2,1,,NZ
1247,Saleem Altaf,1967-1978,21,31,12,276,53*,14.52,0,1,4,,PAK
1248,SL Malinga,2004-2010,30,37,13,275,64,11.45,0,1,9,,SL
1249,Noman Ali,2021-2023,15,19,4,275,97,18.33,0,1,4,,PAK
1250,WA Johnston,1947-1955,40,49,25,273,29,11.37,0,0,7,,AUS
1251,GJ Thompson,1909-1910,6,10,1,273,63,30.33,0,2,0,,ENG
1252,Abdul Kadir,1964-1965,4,8,0,272,95,34.00,0,2,2,,PAK
1253,JC Alabaster,1955-1972,21,34,6,272,34,9.71,0,0,2,,NZ
1254,WE Midwinter,1877-1887,12,21,1,269,37,13.45,0,0,1,,AUS/ENG
1255,OA Shah,2006-2009,6,10,0,269,88,26.90,0,2,0,,ENG
1256,MJ Susskind,1924-1924,5,8,0,268,65,33.50,0,4,0,,SA
1257,Khaled Mahmud,2001-2003,12,23,1,266,45,12.09,0,0,4,,BAN
1258,S Shillingford,2010-2014,16,26,6,266,53*,13.30,0,1,7,,WI
1259,A Lyth,2015-2015,7,13,0,265,107,20.38,1,0,1,,ENG
1260,Rubel Hossain,2009-2020,27,47,19,265,45*,9.46,0,0,7,,BAN
1261,MJF Shrimpton,1963-1974,10,19,0,265,46,13.94,0,0,6,,NZ
1262,Washington Sundar,2021-2021,4,6,2,265,96*,66.25,0,3,2,,IND
1263,GA Bartlett,1961-1968,10,18,1,263,40,15.47,0,0,4,,NZ
1264,GC Small,1986-1991,17,24,7,263,59,15.47,0,1,4,,ENG
1265,GTS Stevens,1922-1930,10,17,0,263,69,15.47,0,1,2,,ENG
1266,V Subramanya,1965-1968,9,15,1,263,75,18.78,0,2,1,,IND
1267,RRS Cornwall,2019-2023,10,17,3,261,73,18.64,0,2,1,,WI
1268,SM Ervine,2003-2004,5,8,0,261,86,32.62,0,3,1,,ZIM
1269,RW Price,1999-2013,22,38,8,261,36,8.70,0,0,6,,ZIM
1270,AN Connolly,1963-1971,29,45,20,260,37,10.40,0,0,10,,AUS
1271,RG Hart,2002-2003,11,19,3,260,57*,16.25,0,1,4,,NZ
1272,Akram Khan,2000-2003,8,16,0,259,44,16.18,0,0,0,,BAN
1273,MG Bracewell,2022-2023,8,14,1,259,74*,19.92,0,1,1,,NZ
1274,DM Lewis,1971-1971,3,5,2,259,88,86.33,0,3,0,,WI
1275,KJ O'Brien,2018-2019,3,6,1,258,118,51.60,1,1,0,,IRE
1276,EC Petrie,1955-1966,14,25,5,258,55,12.90,0,1,2,,NZ
1277,Arshad Ayub,1987-1989,13,19,4,257,57,17.13,0,1,1,,IND
1278,Manjural Islam Rana,2004-2004,6,11,1,257,69,25.70,0,1,2,,BAN
1279,DM Wellham,1981-1987,6,11,0,257,103,23.36,1,0,0,,AUS
1280,J Selby,1877-1882,6,12,1,256,70,23.27,0,2,0,,ENG
1281,BB Chari,2014-2018,7,14,0,254,80,18.14,0,2,2,,ZIM
1282,Dilawar Hussain,1934-1936,3,6,0,254,59,42.33,0,3,0,,IND
1283,W Flowers,1884-1893,8,14,0,254,56,18.14,0,1,0,,ENG
1284,HV Hordern,1911-1912,7,13,2,254,50,23.09,0,1,1,,AUS
1285,ADG Roberts,1976-1976,7,12,1,254,84*,23.09,0,1,2,,NZ
1286,R Swetman,1959-1960,11,17,2,254,65,16.93,0,1,2,,ENG
1287,Khalid Ibadulla,1964-1967,4,8,0,253,166,31.62,1,0,0,,PAK
1288,PR Stirling,2018-2023,5,10,0,253,103,25.30,1,0,1,,IRE
1289,EH Bowley,1929-1930,5,7,0,252,109,36.00,1,0,0,,ENG
1290,TB Burtt,1947-1953,10,15,3,252,42,21.00,0,0,1,,NZ
1291,NF Druce,1897-1898,5,9,0,252,64,28.00,0,1,0,,ENG
1292,CM Francois,1922-1923,5,9,1,252,72,31.50,0,1,0,,SA
1293,PA McAlister,1904-1909,8,16,1,252,41,16.80,0,0,0,,AUS
1294,HGO Owen-Smith,1929-1929,5,8,2,252,129,42.00,1,1,0,,SA
1295,Sohail Khan,2009-2016,9,12,2,252,65,25.20,0,1,0,,PAK
1296,AJL Hill,1896-1896,3,4,0,251,124,62.75,1,1,0,,ENG
1297,CRD Fernando,2000-2012,40,47,17,249,39*,8.30,0,0,8,,SL
1298,G Geary,1924-1934,14,20,4,249,66,15.56,0,2,3,,ENG
1299,KT Kasuza,2020-2021,7,12,1,249,63,22.63,0,1,2,,ZIM
1300,VJ Marks,1982-1984,6,10,1,249,83,27.66,0,3,0,,ENG
1301,HH Massie,1881-1885,9,16,0,249,55,15.56,0,1,2,,AUS
1302,Abdur Razzak,2006-2018,13,22,6,248,43,15.50,0,0,1,,BAN
1303,SR Clark,2006-2009,24,26,7,248,39,13.05,0,0,5,,AUS
1304,EJ Gray,1983-1988,10,16,0,248,50,15.50,0,1,0,,NZ
1305,AW Roberts,1930-1937,5,10,1,248,66*,27.55,0,3,0,,NZ
1306,J Yadav,2016-2022,6,9,1,248,104,31.00,1,1,0,,IND
1307,MHW Papps,2004-2007,8,16,1,246,86,16.40,0,2,4,,NZ
1308,TJ Zoehrer,1986-1987,10,14,2,246,52*,20.50,0,1,0,,AUS
1309,BA Davis,1965-1965,4,8,0,245,68,30.62,0,3,0,,WI
1310,RB Kenny,1958-1960,5,10,1,245,62,27.22,0,3,2,,IND
1311,FA Lowson,1951-1955,7,13,0,245,68,18.84,0,2,2,,ENG
1312,RK Nunes,1928-1930,4,8,0,245,92,30.62,0,2,1,,WI
1313,FC Hayes,1973-1976,9,17,1,244,106*,15.25,1,0,6,,ENG
1314,Shuvagata Hom,2014-2016,8,15,4,244,50,22.18,0,1,3,,BAN
1315,XM Marshall,2005-2009,7,12,0,243,85,20.25,0,2,1,,WI
1316,Mehrab Hossain jnr,2007-2009,7,13,1,243,83,20.25,0,1,1,,BAN
1317,JB Mortimore,1959-1964,9,12,2,243,73*,24.30,0,1,1,,ENG
1318,JW Trumble,1885-1886,7,13,1,243,59,20.25,0,1,1,,AUS
1319,Ali Naqvi,1997-1998,5,9,1,242,115,30.25,1,0,0,,PAK
1320,SF Barnes,1901-1914,27,39,9,242,38*,8.06,0,0,8,,ENG
1321,CD Gopinath,1951-1960,8,12,1,242,50*,22.00,0,1,4,,IND
1322,James Langridge,1933-1946,8,9,0,242,70,26.88,0,1,0,,ENG
1323,D Williams,1992-1998,11,19,1,242,65,13.44,0,1,7,,WI
1324,Mehrab Hossain,2000-2003,9,18,0,241,71,13.38,0,1,2,,BAN
1325,JE Mills,1930-1933,7,10,1,241,117,26.77,1,0,2,,NZ
1326,C Campher,2023-2023,4,8,0,240,111,30.00,1,0,1,,IRE
1327,SLV Raju,1990-2001,28,34,10,240,31,10.00,0,0,3,,IND
1328,C Bannerman,1877-1879,3,6,2,239,165*,59.75,1,0,0,,AUS
1329,Naved-ul-Hasan,2004-2007,9,15,3,239,42*,19.91,0,0,2,,PAK
1330,JC White,1921-1931,15,22,9,239,29,18.38,0,0,1,,ENG
1331,LE Plunkett,2005-2014,13,20,5,238,55*,15.86,0,1,7,,ENG
1332,DG Bedingham,2023-2024,4,6,0,237,87,39.50,0,2,0,,SA
1333,AW Carr,1922-1929,11,13,1,237,63,19.75,0,1,0,,ENG
1334,FB Smith,1947-1952,4,6,1,237,96,47.40,0,2,0,,NZ
1335,S Wazir Ali,1932-1936,7,14,0,237,42,16.92,0,0,1,,IND
1336,G Dymock,1974-1980,21,32,7,236,31*,9.44,0,0,7,,AUS
1337,CN Frank,1921-1921,3,6,0,236,152,39.33,1,0,0,,SA
1338,DE Malcolm,1989-1997,40,58,19,236,29,6.05,0,0,16,,ENG
1339,PT Collins,1999-2006,32,47,7,235,24,5.87,0,0,14,,WI
1340,Hasan Raza,1996-2005,7,10,1,235,68,26.11,0,2,1,,PAK
1341,KA Archer,1950-1951,5,9,0,234,48,26.00,0,0,1,,AUS
1342,G Duckworth,1924-1936,24,28,12,234,39*,14.62,0,0,2,,ENG
1343,EAE Baptiste,1983-1990,10,11,1,233,87*,23.30,0,1,1,,WI
1344,R Kilner,1924-1926,9,8,1,233,74,33.28,0,2,0,,ENG
1345,ML Love,2002-2003,5,8,3,233,100*,46.60,1,1,2,,AUS
1346,FI de Caires,1930-1930,3,6,0,232,80,38.66,0,2,1,,WI
1347,Mushfiqur Rahman,2001-2004,10,19,2,232,46*,13.64,0,0,5,,BAN
1348,WH Lockwood,1893-1902,12,16,3,231,52*,17.76,0,1,3,,ENG
1349,H Strudwick,1910-1926,28,42,13,230,24,7.93,0,0,5,,ENG
1350,FH Tyson,1954-1959,17,24,3,230,37*,10.95,0,0,3,,ENG
1351,Ashraf Ali,1982-1987,8,8,3,229,65,45.80,0,2,0,,PAK
